"country_region","confirmed_cases","fatalities","a","b","c","new_t"
"Afghanistan",1092,36,1000,0.19,44.4507745244885,56
"Afghanistan",1176,40,1000,0.19,44.4507745244885,57
"Afghanistan",1279,42,1000,0.19,44.4507745244885,58
"Afghanistan",1351,43,1000,0.19,44.4507745244885,59
"Afghanistan",1463,47,1000,0.19,44.4507745244885,60
"Afghanistan",1531,50,1000,0.19,44.4507745244885,61
"Afghanistan",1703,57,1000,0.19,44.4507745244885,62
"Afghanistan",1828,58,1000,0.19,44.4507745244885,63
"Afghanistan",1939,60,1000,0.19,44.4507745244885,64
"Albania",609,26,500,0.18,21.6361478806059,42
"Albania",634,27,500,0.18,21.6361478806059,43
"Albania",663,27,500,0.18,21.6361478806059,44
"Albania",678,27,500,0.18,21.6361478806059,45
"Albania",712,27,500,0.18,21.6361478806059,46
"Albania",726,28,500,0.18,21.6361478806059,47
"Albania",736,28,500,0.18,21.6361478806059,48
"Albania",750,30,500,0.18,21.6361478806059,49
"Albania",766,30,500,0.18,21.6361478806059,50
"Algeria",2811,392,10000,0.09,63.954304362609,55
"Algeria",2910,402,10000,0.09,63.954304362609,56
"Algeria",3007,407,10000,0.09,63.954304362609,57
"Algeria",3127,415,10000,0.09,63.954304362609,58
"Algeria",3256,419,10000,0.09,63.954304362609,59
"Algeria",3382,425,10000,0.09,63.954304362609,60
"Algeria",3517,432,10000,0.09,63.954304362609,61
"Algeria",3649,437,10000,0.09,63.954304362609,62
"Algeria",3848,444,10000,0.09,63.954304362609,63
"Andorra",717,37,1000,0.11,35.833102089609,49
"Andorra",723,37,1000,0.11,35.833102089609,50
"Andorra",723,37,1000,0.11,35.833102089609,51
"Andorra",731,40,1000,0.11,35.833102089609,52
"Andorra",738,40,1000,0.11,35.833102089609,53
"Andorra",738,40,1000,0.11,35.833102089609,54
"Andorra",743,40,1000,0.11,35.833102089609,55
"Andorra",743,41,1000,0.11,35.833102089609,56
"Andorra",743,42,1000,0.11,35.833102089609,57
"Angola",24,2,100,0.07,40.3163324763391,26
"Angola",25,2,100,0.07,40.3163324763391,27
"Angola",25,2,100,0.07,40.3163324763391,28
"Angola",25,2,100,0.07,40.3163324763391,29
"Angola",25,2,100,0.07,40.3163324763391,30
"Angola",26,2,100,0.07,40.3163324763391,31
"Angola",27,2,100,0.07,40.3163324763391,32
"Angola",27,2,100,0.07,40.3163324763391,33
"Angola",27,2,100,0.07,40.3163324763391,34
